c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
177405556,6063.4276527845705,3.867497393383448,35,243,0.0637840115335974,14.40329218106996,28.714859437751006
1649947307,3640.875912075488,2.2980527059777924,56,243,0.0631181276559294,23.045267489711936,28.915662650602407
920831014,4803.162027511822,3.007125711420911,61,243,0.0626072094631937,25.102880658436217,29.116465863453815
1980046923,5268.502978686643,3.272642712940678,53,243,0.062117127506237,21.81069958847737,29.31726907630522
791639184,7974.207982738431,4.946130040127413,45,243,0.0620265993918665,18.51851851851852,29.518072289156628
497516643,4274.3707321072025,2.6017115132132944,47,243,0.0608677084013882,19.34156378600823,29.71887550200803
1746053148,5104.241856373139,3.026429548977588,37,243,0.0592924401730454,15.22633744855967,29.919678714859437
321084463,4996.977821621255,2.957064809567158,67,243,0.0591770649205672,27.572016460905356,30.120481927710845
62355067,6976.581582894504,4.058437492334657,45,243,0.0581722931798764,18.51851851851852,30.32128514056225
522666364,3566.4593624524946,2.041395876667976,49,243,0.0572387252791855,20.16460905349794,30.522088353413658
2031907181,5932.894691540645,3.305815231555705,54,243,0.0557201063465573,22.22222222222222,30.72289156626506
369696407,6302.39881388029,3.3802446246431948,57,243,0.0536342545825345,23.456790123456788,30.923694779116467
1203715542,4690.453353594666,2.51042859309469,51,243,0.0535220884601858,20.98765432098765,31.12449799196787
475339127,3446.543883075959,1.8235885891309376,59,243,0.0529106447210945,24.279835390946506,31.32530120481928
467236422,7281.725810415362,3.822793201749474,41,243,0.0524984502476263,16.872427983539097,31.52610441767068
143071446,3456.9977201706547,1.7959062101337453,29,243,0.0519498812410293,11.934156378600823,31.72690763052209
602764242,3422.395651767265,1.7362584001561563,101,243,0.0507322523992684,41.56378600823045,31.92771084337349
681948559,4291.424178507841,2.173555513324505,37,243,0.0506488154727288,15.22633744855967,32.1285140562249
1445534306,2409.82176687679,1.206599911759094,84,243,0.0500700893461879,34.5679012345679,32.329317269076306
474178196,3417.3996769301466,1.65104956089886,58,243,0.0483130367233486,23.868312757201647,32.53012048192771
310171454,3677.6626916272144,1.67117934215828,80,243,0.0454413436545713,32.92181069958848,32.730923694779115
349379266,3755.8127581166304,1.6785057062382982,101,243,0.0446908782289773,41.56378600823045,32.93172690763052
455268757,3277.4587795315724,1.4419428362742015,81,243,0.0439957580940282,33.33333333333333,33.13253012048193
432468715,1597.1339912074716,0.7000317288398126,74,243,0.0438304946669234,30.45267489711934,33.33333333333333
1951224868,4104.280371883191,1.7770782941052798,36,243,0.0432981700343705,14.814814814814811,33.53413654618474
765528477,4198.6594366566005,1.7849388195905616,42,243,0.0425121124139544,17.28395061728395,33.734939759036145
294943318,4435.467309934355,1.8779658013386995,39,243,0.0423397506984781,16.049382716049383,33.93574297188755
1203377026,3161.512579097272,1.319934510362983,84,243,0.0417500951629891,34.5679012345679,34.13654618473896
63789504,7541.983399473948,3.0896684542648005,42,243,0.0409662590145757,17.28395061728395,34.33734939759036
1760465917,2389.9019670398056,0.978918535116068,29,243,0.0409606146451513,11.934156378600823,34.53815261044177
506625236,7392.349026293218,3.0242792544741386,34,243,0.0409109370203887,13.991769547325102,34.738955823293175
533614327,4977.391772151541,2.010827838023092,36,243,0.0403992277496349,14.814814814814811,34.93975903614458
2003716861,5621.629508988932,2.138437325532525,61,243,0.038039456746717,25.102880658436217,35.140562248995984
1898710649,2993.10663220645,1.0740761586088947,87,243,0.0358849947760501,35.80246913580247,35.34136546184739
1065880139,7534.40182673418,2.6055071152364087,37,243,0.0345814727586115,15.22633744855967,35.54216867469879
1834624576,5732.5777530013065,1.951094932082976,61,243,0.0340352109670291,25.102880658436217,35.7429718875502
556100725,8316.615601391393,2.715766253073894,36,243,0.032654704548561,14.814814814814811,35.9437751004016
1149850021,6857.5640587434345,2.21296149538683,35,243,0.0322703729258685,14.40329218106996,36.144578313253014
1861085133,5461.713064591101,1.762453285482121,39,243,0.0322692397905027,16.049382716049383,36.34538152610442
